[1/75] childes_amy_0000_0039
[2/75] childes_amy_0040_0079
[3/75] childes_betty_0000_0039
[4/75] childes_betty_0040_0079
[5/75] childes_chuck_0000_0039
[6/75] childes_chuck_0040_0079
[7/75] childes_doug_0000_0039
[8/75] childes_ed_0000_0039
[9/75] childes_ed_0040_0079
[10/75] childes_frank_0000_0039
[11/75] childes_frank_0040_0079
[12/75] childes_gloria_0000_0039
[13/75] childes_gloria_0040_0079
[14/75] childes_hank_0000_0039
[15/75] childes_hank_0040_0079
[16/75] childes_ivy_0000_0039
[17/75] childes_ivy_0040_0079
[18/75] childes_jane_0000_0039
[19/75] childes_jane_0040_0079
[20/75] childes_jim_0000_0039
[21/75] childes_jim_0040_0079
[22/75] childes_kathy_0000_0039
[23/75] childes_kathy_0040_0079
[24/75] childes_keith_0000_0039
[25/75] childes_keith_0040_0079
[26/75] childes_kent_0000_0039
[27/75] childes_kent_0040_0079
[28/75] childes_linda_0000_0039
[29/75] childes_linda_0040_0079
[30/75] childes_mandy_0000_0039
[31/75] childes_mandy_0040_0079
[32/75] childes_nan_0000_0039
[33/75] childes_nan_0040_0079
[34/75] childes_olivia_0000_0039
[35/75] childes_olivia_0040_0079
[36/75] childes_paula_0000_0039
[37/75] childes_paula_0040_0079
[38/75] childes_pete_0000_0039
[39/75] childes_pete_0040_0079
[40/75] childes_ruth_0000_0039
[41/75] childes_ruth_0040_0079
[42/75] childes_steve_0000_0039
[43/75] childes_steve_0040_0079
[44/75] childes_sue_0000_0039
[45/75] childes_sue_0040_0079
[46/75] childes_tom_0000_0039
[47/75] childes_tom_0040_0079
[48/75] childes_vicki_0000_0039
[49/75] childes_wanda_0000_0039
[50/75] childes_wanda_0040_0079
[51/75] childes_adam0915_target_0048_0087
[52/75] childes_adam0915_target_0059_0098
[53/75] childes_adam0915_target_0062_0101
[54/75] childes_adam0903_target_0000_0039
[55/75] childes_adam0903_target_0005_0044
[56/75] childes_adam0917_target_0000_0039
[57/75] childes_adam0917_target_0009_0048
[58/75] childes_adam0902_target_0000_0039
[59/75] childes_adam0916_target_0000_0039
[60/75] childes_adam0916_target_0003_0042
[61/75] childes_adam0916_target_0018_0057
[62/75] childes_adam0901_target_0000_0039
[63/75] childes_nortrevo_target_0012_0051
[64/75] childes_nortrevo_target_0015_0054
[65/75] childes_nortrevo_target_0095_0134
[66/75] childes_adam0923_target_0000_0039
[67/75] childes_adam0923_target_0013_0052
[68/75] childes_normered_target_0000_0039
[69/75] childes_normered_target_0097_0136
[70/75] childes_normelis_target_0000_0039
[71/75] childes_normelis_target_0004_0043
[72/75] childes_normelis_target_0014_0053
[73/75] childes_normarjo_target_0098_0137
[74/75] childes_normarjo_target_0145_0184
[75/75] childes_alice3_target_0015_0054
Run complete: experiments\cross_task_generalization\runs\task2_c2_claude-haiku-4-5-20251001_20260607_170328
