[1/40] timit_FADG0
[2/40] timit_FAKS0
[3/40] timit_FASW0
[4/40] timit_FAWF0
[5/40] timit_FCAL1
[6/40] timit_FCAU0
[7/40] timit_FCFT0
[8/40] timit_FCMH0
[9/40] timit_FCMH1
[10/40] timit_FCMR0
[11/40] timit_FCRH0
[12/40] timit_FDAC1
[13/40] timit_FDHC0
[14/40] timit_FDMS0
[15/40] timit_FDRD1
[16/40] timit_FDRW0
[17/40] timit_FEDW0
[18/40] timit_FELC0
[19/40] timit_FGJD0
[20/40] timit_FGMD0
[21/40] timit_FGWR0
[22/40] timit_FHES0
[23/40] timit_FHEW0
[24/40] timit_FISB0
[25/40] timit_FJAS0
[26/40] timit_FJCS0
[27/40] timit_FJEM0
[28/40] timit_FJLM0
[29/40] timit_FJMG0
[30/40] timit_FJRE0
[31/40] timit_FJSA0
[32/40] timit_FJSJ0
[33/40] timit_FJWB0
[34/40] timit_FKMS0
[35/40] timit_FLAS0
[36/40] timit_FLBW0
[37/40] timit_FLKD0
[38/40] timit_FLNH0
[39/40] timit_FMAF0
[40/40] timit_FMAH0
Run complete: c:\Users\charu\OneDrive\Desktop\transcription_project\experiments\cross_task_generalization\runs\task3_clean_c0_gpt-5.4-mini_20260615_203728
