window_id,valid,validation_errors,speaker_match,event_count_precision,event_count_recall,event_count_f1,event_count_mae,event_attribution_accuracy
childes_adam0901_target_0000_0039,True,[],1.0,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.125,1.0
childes_adam0902_target_0000_0039,True,[],1.0,0.2222222222222222,0.07142857142857142,0.10810810810810811,0.675,1.0
childes_adam0903_target_0000_0039,True,[],0.925,0.7777777777777778,0.23333333333333334,0.35897435897435903,0.625,1.0
childes_adam0903_target_0005_0044,True,[],1.0,0.46153846153846156,0.21428571428571427,0.2926829268292683,0.725,1.0
childes_adam0915_target_0048_0087,True,[],0.975,0.4090909090909091,0.3333333333333333,0.36734693877551017,0.675,1.0
childes_adam0915_target_0059_0098,True,[],0.975,0.0,0.0,0.0,0.9,0.0
childes_adam0915_target_0062_0101,True,[],1.0,0.36363636363636365,0.125,0.18604651162790697,0.675,1.0
childes_adam0916_target_0000_0039,True,[],1.0,0.6153846153846154,0.9696969696969697,0.7529411764705882,0.475,1.0
childes_adam0916_target_0003_0042,True,[],0.925,0.6470588235294118,0.3235294117647059,0.4313725490196078,0.625,0.9090909090909091
childes_adam0916_target_0018_0057,True,[],1.0,0.0,0.0,0.0,0.9,0.0
childes_adam0917_target_0000_0039,True,[],1.0,0.0,0.0,0.0,0.3,0.0
childes_adam0917_target_0009_0048,True,[],1.0,0.0,0.0,0.0,0.375,0.0
childes_adam0923_target_0000_0039,True,[],1.0,0.4444444444444444,0.23529411764705882,0.30769230769230765,0.45,1.0
childes_adam0923_target_0013_0052,True,[],1.0,0.5,0.7777777777777778,0.6086956521739131,0.225,1.0
childes_alice3_target_0015_0054,True,[],0.925,0.0,0.0,0.0,0.575,0.0
childes_amy_0000_0039,True,[],0.775,0.0,0.0,0.0,0.125,0.0
childes_amy_0040_0079,True,[],1.0,0.9,0.8181818181818182,0.8571428571428572,0.075,1.0
childes_betty_0000_0039,True,[],1.0,0.25,0.2857142857142857,0.26666666666666666,0.275,1.0
childes_betty_0040_0079,True,[],1.0,0.3333333333333333,0.4,0.3636363636363636,0.175,1.0
childes_chuck_0000_0039,True,[],1.0,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.4,1.0
childes_chuck_0040_0079,True,[],1.0,0.14285714285714285,0.05555555555555555,0.08,0.475,1.0
childes_doug_0000_0039,True,[],0.875,0.0,0.0,0.0,0.225,0.0
childes_ed_0000_0039,True,[],1.0,0.6666666666666666,0.6153846153846154,0.64,0.225,1.0
childes_ed_0040_0079,True,[],1.0,0.0,0.0,0.0,0.275,0.0
childes_frank_0000_0039,True,[],0.85,0.0,0.0,0.0,0.375,0.0
childes_frank_0040_0079,True,[],1.0,0.22727272727272727,1.0,0.37037037037037035,0.425,1.0
childes_gloria_0000_0039,True,[],1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.25,1.0
childes_gloria_0040_0079,True,[],1.0,0.0,0.0,0.0,0.425,0.0
childes_hank_0000_0039,True,[],1.0,0.7,0.875,0.7777777777777777,0.05,1.0
childes_hank_0040_0079,True,[],1.0,0.42857142857142855,0.6,0.5,0.15,1.0
childes_ivy_0000_0039,True,[],1.0,0.2727272727272727,1.0,0.42857142857142855,0.4,1.0
childes_ivy_0040_0079,True,[],1.0,0.46153846153846156,0.8571428571428571,0.6,0.2,1.0
childes_jane_0000_0039,True,[],1.0,0.0,0.0,0.0,0.15,0.0
childes_jane_0040_0079,True,[],0.95,0.0,0.0,0.0,0.025,0.0
childes_jim_0000_0039,True,[],0.975,0.35714285714285715,0.625,0.45454545454545453,0.25,1.0
childes_jim_0040_0079,True,[],1.0,0.16666666666666666,0.2,0.1818181818181818,0.125,1.0
childes_kathy_0000_0039,True,[],1.0,0.75,0.5,0.6,0.1,1.0
childes_kathy_0040_0079,True,[],1.0,0.6666666666666666,0.5,0.5714285714285715,0.15,1.0
childes_keith_0000_0039,True,[],1.0,0.1111111111111111,0.2,0.14285714285714285,0.25,1.0
childes_keith_0040_0079,True,[],1.0,0.36363636363636365,0.6666666666666666,0.4705882352941177,0.175,1.0
childes_kent_0000_0039,True,[],0.8,0.375,0.3333333333333333,0.35294117647058826,0.275,0.6666666666666666
childes_kent_0040_0079,True,[],1.0,0.0,0.0,0.0,0.4,0.0
childes_linda_0000_0039,True,[],1.0,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.375,1.0
childes_linda_0040_0079,True,[],1.0,0.5882352941176471,0.45454545454545453,0.5128205128205129,0.425,1.0
childes_mandy_0000_0039,True,[],1.0,0.0,0.0,0.0,0.275,0.0
childes_mandy_0040_0079,True,[],1.0,0.0,0.0,0.0,0.225,0.0
childes_nan_0000_0039,True,[],1.0,0.0,0.0,0.0,0.225,0.0
childes_nan_0040_0079,True,[],1.0,0.0,0.0,0.0,0.3,0.0
childes_normarjo_target_0098_0137,True,[],1.0,0.0,0.0,0.0,0.075,0.0
childes_normarjo_target_0145_0184,True,[],1.0,0.5,1.0,0.6666666666666666,0.025,1.0
childes_normelis_target_0000_0039,True,[],0.95,0.6666666666666666,0.8,0.7272727272727272,0.15,1.0
childes_normelis_target_0004_0043,True,[],1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.15,1.0
childes_normelis_target_0014_0053,True,[],1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,1.0
childes_normered_target_0000_0039,True,[],1.0,1.0,0.125,0.2222222222222222,0.175,1.0
childes_normered_target_0097_0136,True,[],1.0,0.0,0.0,0.0,0.075,0.0
childes_nortrevo_target_0012_0051,True,[],0.75,0.0,0.0,0.0,0.4,0.0
childes_nortrevo_target_0015_0054,True,[],1.0,0.0,0.0,0.0,0.325,0.0
childes_nortrevo_target_0095_0134,True,[],1.0,0.5217391304347826,0.8571428571428571,0.6486486486486486,0.275,1.0
childes_olivia_0000_0039,True,[],0.975,0.0,0.0,0.0,0.275,0.0
childes_olivia_0040_0079,True,[],1.0,0.5,0.9285714285714286,0.65,0.3,1.0
childes_paula_0000_0039,True,[],0.975,0.5,0.8,0.6153846153846154,0.125,1.0
childes_paula_0040_0079,True,[],1.0,0.2,0.5,0.28571428571428575,0.225,1.0
childes_pete_0000_0039,True,[],1.0,0.5,1.0,0.6666666666666666,0.025,1.0
childes_pete_0040_0079,True,[],0.875,0.0,0.0,0.0,0.175,0.0
childes_ruth_0000_0039,True,[],1.0,0.0,0.0,0.0,0.275,0.0
childes_ruth_0040_0079,True,[],1.0,0.25,0.2222222222222222,0.23529411764705882,0.325,1.0
childes_steve_0000_0039,True,[],1.0,0.0,0.0,0.0,0.15,0.0
childes_steve_0040_0079,True,[],1.0,0.18181818181818182,0.15384615384615385,0.16666666666666669,0.45,1.0
childes_sue_0000_0039,True,[],1.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.15,1.0
childes_sue_0040_0079,True,[],1.0,0.2,0.14285714285714285,0.16666666666666666,0.2,1.0
childes_tom_0000_0039,True,[],0.95,0.36363636363636365,0.26666666666666666,0.30769230769230765,0.3,1.0
childes_tom_0040_0079,True,[],1.0,0.4166666666666667,0.625,0.5,0.25,1.0
childes_vicki_0000_0039,True,[],1.0,0.6666666666666666,1.0,0.8,0.05,1.0
childes_wanda_0000_0039,True,[],0.95,0.5,0.625,0.5555555555555556,0.1,1.0
childes_wanda_0040_0079,True,[],1.0,0.25,0.23076923076923078,0.24000000000000002,0.475,1.0
